Team,WINS%,DRAWS%,LOSSES%,AVG RANKING,SUCCESS RAID %,SUCCESSFUL TACKLE %,AVG RAID POINTS,AVG DEFENCE POINT,ALL OUTS INFLICTED,AVG ALL OUT POINTS,Avg Player Points,Avg Player Raid Points,Avg Player Tackle Points
Bengal Warriors,0.43902439024390244,0.12195121951219512,0.43902439024390244,2.7,0.42,0.4,17.75609756097561,8.959349593495935,128,2.0813008130081303,20.5,15.222222222222221,5.611111111111112
Bengaluru Bulls,0.4634146341463415,0.056910569105691054,0.4796747967479675,3.7,0.43,0.43,18.24390243902439,9.365853658536585,149,2.4227642276422765,18.823529411764707,17.941176470588232,5.629166666666666
Dabang Delhi,0.3728813559322034,0.06779661016949153,0.559322033898305,3.2,0.42,0.38,17.940677966101696,8.88135593220339,133,2.2542372881355934,17.704166666666666,17.3125,5.3125
Fortune Giants,0.582089552238806,0.1044776119402985,0.31343283582089554,6.6,0.41,0.49,17.313432835820894,10.477611940298507,89,2.656716417910448,11.145833333333332,10.805555555555555,4.777777777777779
Haryana Steelers,0.47540983606557374,0.11475409836065574,0.4098360655737705,3.6,0.44,0.39,19.065573770491802,9.639344262295081,65,2.1311475409836067,14.985576923076925,14.427884615384615,2.7857142857142856
Pink Panthers,0.4262295081967213,0.09016393442622951,0.48360655737704916,5.75,0.41,0.43,17.15573770491803,9.532786885245901,135,2.2131147540983607,7.4444444444444455,6.833333333333332,6.5555555555555545
Patna Pirates,0.5271317829457365,0.10077519379844961,0.37209302325581395,5.45,0.46,0.42,19.992248062015506,10.007751937984496,191,2.9612403100775193,12.176470588235292,12.176470588235292,5.411764705882354
Puneri Paltan,0.3951612903225806,0.08870967741935484,0.5161290322580645,6.05,0.39,0.43,16.661290322580644,10.120967741935484,133,2.1451612903225805,13.155555555555555,5.111111111111111,2.833333333333333
Tamil Thalaivas,0.22580645161290322,0.14516129032258066,0.6290322580645161,10.2,0.42,0.39,18.419354838709676,8.790322580645162,52,1.6774193548387097,12.6,12.211111111111114,
Telugu Titans,0.4083333333333333,0.125,0.4666666666666667,7.7,0.43,0.42,18.533333333333335,9.641666666666667,138,2.3,8.75,8.5625,3.625
U Mumba,0.6209677419354839,0.056451612903225805,0.3225806451612903,3.3,0.43,0.46,17.927419354838708,10.508064516129032,169,2.725806451612903,6.6,11.283333333333333,8.058823529411764
UP Yoddha,0.4153846153846154,0.15384615384615385,0.4307692307692308,3.7,0.42,0.42,18.138461538461538,9.938461538461539,69,2.123076923076923,6.235294117647059,6.0588235294117645,5.941176470588236
